Hong Kong International Airport   ,,,,,,,,,,,,,,,,,,,,
Civil International Air Transport,,,,,,,,,,,,,,,,,,,,
"Movements of Aircraft, Passenger and Freight",,,,,,,,,,,,,,,,,,,,
(1998 - 2020),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,Aircraft,0,0,0,Passenger @,,,,Freight β (Tonne),,,,,,,,,
Year,Month,,Landing,Take-off,Total,"Year-on-year 
% change",Arrival,Departure,Total,"Year-on-year 
% change",Unloaded,Loaded,Total,"Year-on-year 
% change",,,,,,
,Apr,, 6 069  , 6 064  , 12 133  ,-27.5     , 419 307  , 473 589  , 892 896  ,-68.9     , 80 963 , 122 253 , 203 216 ,+3.2     ,,,,,,
,May,, 4 316  , 4 313  , 8 629  ,-49.3     , 276 938  , 279 129  , 556 067  ,-79.7     , 81 695 , 119 034 , 200 730 ,+1.3     ,,,,,,
,Jun,, 4 755  , 4 752  , 9 507  ,-42.8     , 565 475  , 567 385  ,1 132 860  ,-56.5     , 82 458 , 118 915 , 201 373 ,-1.9     ,,,,,,
,Jul,, 7 093  , 7 095  , 14 188  ,-19.5     ,1 203 133  ,1 198 583  ,2 401 716  ,-18.7     , 84 335 , 126 918 , 211 253 ,+1.2     ,,,,,,
,Aug,, 8 463  , 8 460  , 16 923  ,-7.6     ,1 509 449  ,1 430 921  ,2 940 370  ,-5.5     , 85 054 , 134 104 , 219 158 ,+5.6     ,,,,,,
,Sep,, 8 477  , 8 479  , 16 956  ,-3.6     ,1 282 265  ,1 309 868  ,2 592 133  ,-3.6     , 89 408 , 145 534 , 234 942 ,+7.9     ,,,,,,
,Oct,, 9 374  , 9 370  , 18 744  ,+0.2     ,1 432 563  ,1 375 288  ,2 807 851  ,-4.9     , 93 022 , 167 957 , 260 979 ,+4.7     ,,,,,,
,Nov,, 9 272  , 9 275  , 18 547  ,+3.1     ,1 355 812  ,1 326 757  ,2 682 569  ,-0.1     , 95 410 , 172 388 , 267 798 ,+6.1     ,,,,,,
,Dec,, 9 493  , 9 502  , 18 995  ,+4.4     ,1 471 072  ,1 444 762  ,2 915 834  ,+0.3     , 97 529 , 150 598 , 248 128 ,+15.4     ,,,,,,
2004,Jan,, 9 656  , 9 650  , 19 306  ,+6.4     ,1 462 011  ,1 502 530  ,2 964 541  ,+8.0     , 80 533 , 116 498 , 197 032 ,-0.5     ,,,,,,
,Feb,, 8 605  , 8 597  , 17 202  ,+3.4     ,1 212 443  ,1 133 189  ,2 345 632  ,-10.9     , 90 381 , 132 537 , 222 918 ,+39.3     ,,,,,,
,Mar,, 9 582  , 9 589  , 19 171  ,+5.9     ,1 389 324  ,1 369 687  ,2 759 011  ,+12.4     , 100 376 , 169 473 , 269 849 ,+14.1     ,,,,,,
,Apr,, 9 842  , 9 842  , 19 684  ,+62.2     ,1 538 619  ,1 500 544  ,3 039 163  ,+240.4     , 94 557 , 153 836 , 248 393 ,+22.2     ,,,,,,
,May,, 9 763  , 9 763  , 19 526  ,+126.3     ,1 375 639  ,1 379 485  ,2 755 124  ,+395.5     , 98 580 , 147 313 , 245 894 ,+22.5     ,,,,,,
,Jun,, 9 629  , 9 625  , 19 254  ,+102.5     ,1 513 929  ,1 495 996  ,3 009 925  ,+165.7     , 98 863 , 149 670 , 248 533 ,+23.4     ,,,,,,
,Jul,, 10 203  , 10 200  , 20 403  ,+43.8     ,1 678 414  ,1 677 102  ,3 355 516  ,+39.7     , 100 383 , 156 743 , 257 126 ,+21.7     ,,,,,,
,Aug,, 10 282  , 10 278  , 20 560  ,+21.5     ,1 749 152  ,1 676 775  ,3 425 927  ,+16.5     , 92 807 , 161 679 , 254 485 ,+16.1     ,,,,,,
,Sep,, 10 024  , 10 034  , 20 058  ,+18.3     ,1 453 376  ,1 527 031  ,2 980 407  ,+15.0     , 101 489 , 175 726 , 277 215 ,+18.0     ,,,,,,
,Oct,, 10 555  , 10 543  , 21 098  ,+12.6     ,1 702 428  ,1 594 733  ,3 297 161  ,+17.4     , 103 077 , 190 806 , 293 883 ,+12.6     ,,,,,,
,Nov,, 10 104  , 10 106  , 20 210  ,+9.0     ,1 561 870  ,1 534 137  ,3 096 007  ,+15.4     , 98 732 , 196 427 , 295 159 ,+10.2     ,,,,,,
,Dec,, 10 417  , 10 419  , 20 836  ,+9.7     ,1 645 946  ,1 612 282  ,3 258 228  ,+11.7     , 104 957 , 174 467 , 279 425 ,+12.6     ,,,,,,
2005,Jan,, 10 173  , 10 168  , 20 341  ,+5.4     ,1 467 450  ,1 471 398  ,2 938 848  ,-0.9     , 93 084 , 154 030 , 247 115 ,+25.4     ,,,,,,
,Feb,, 9 563  , 9 569  , 19 132  ,+11.2     ,1 536 135  ,1 491 777  ,3 027 912  ,+29.1     , 82 848 , 121 763 , 204 611 ,-8.2     ,,,,,,
,Mar,, 10 663  , 10 656  , 21 319  ,+11.2     ,1 600 054  ,1 647 708  ,3 247 762  ,+17.7     , 105 221 , 185 691 , 290 913 ,+7.8     ,,,,,,
,Apr,, 10 658  , 10 664  , 21 322  ,+8.3     ,1 655 053  ,1 611 318  ,3 266 371  ,+7.5     , 103 219 , 182 117 , 285 336 ,+14.9     ,,,,,,
,May,, 10 832  , 10 830  , 21 662  ,+10.9     ,1 623 554  ,1 624 951  ,3 248 505  ,+17.9     , 102 490 , 168 390 , 270 880 ,+10.2     ,,,,,,
,Jun,, 10 670  , 10 664  , 21 334  ,+10.8     ,1 611 684  ,1 607 484  ,3 219 168  ,+7.0     , 104 865 , 175 059 , 279 924 ,+12.6     ,,,,,,
,Jul,, 11 369  , 11 368  , 22 737  ,+11.4     ,1 837 625  ,1 856 694  ,3 694 319  ,+10.1     , 107 584 , 182 618 , 290 201 ,+12.9     ,,,,,,
,Aug,, 11 497  , 11 484  , 22 981  ,+11.8     ,1 866 146  ,1 793 787  ,3 659 933  ,+6.8     , 102 913 , 179 431 , 282 344 ,+10.9     ,,,,,,
,Sep,, 11 310  , 11 329  , 22 639  ,+12.9     ,1 603 116  ,1 626 113  ,3 229 229  ,+8.3     , 109 513 , 193 985 , 303 498 ,+9.5     ,,,,,,
,Oct,, 11 830  , 11 817  , 23 647  ,+12.1     ,1 775 323  ,1 716 958  ,3 492 281  ,+5.9     , 110 050 , 208 110 , 318 160 ,+8.3     ,,,,,,
,Nov,, 11 454  , 11 460  , 22 914  ,+13.4     ,1 652 645  ,1 634 383  ,3 287 028  ,+6.2     , 107 843 , 211 245 , 319 088 ,+8.1     ,,,,,,
,Dec,, 11 740  , 11 736  , 23 476  ,+12.7     ,1 761 982  ,1 726 257  ,3 488 239  ,+7.1     , 116 336 , 193 844 , 310 181 ,+11.0     ,,,,,,
